system:index,precipitation,year,.geo
0,680.4624548582809,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,492.0203330746121,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,469.29345255467547,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,502.59326580426836,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,572.354068622516,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,454.2646363656258,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,507.45040482846116,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,570.4821185143518,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,507.8811037612181,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,480.01351969752903,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,499.2235755493873,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,492.9643197252775,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,539.8361649201995,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,463.2191486816337,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,566.326122273194,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,507.20683279402215,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,617.0934714370189,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,538.7061544179343,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,546.9441110217012,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,546.0797278592667,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,662.7245421473951,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,557.3014145703595,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,520.4363301861777,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,701.0910060805696,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,607.3159098594672,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,592.4719587191245,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,595.9410221406542,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,599.3422310348495,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,591.939727753181,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,705.2517833680332,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,494.63486472899945,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,578.3127388394553,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,544.5872152669867,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,547.6206039340836,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,513.6490895243452,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,650.4743491566297,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,563.4268364587701,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,610.7692301869131,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,511.85789489047175,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
